scheme_code,group_code,color_family,color_hex
WI26,WI100,energy_utilities,#e34948
WI26,WI110,materials,#eda100
WI26,WI200,materials,#eda100
WI26,WI210,materials,#eda100
WI26,WI220,industrials,#eb6834
WI26,WI230,industrials,#eb6834
WI26,WI240,industrials,#eb6834
WI26,WI250,industrials,#eb6834
WI26,WI260,industrials,#eb6834
WI26,WI300,consumer_discretionary,#e87ba4
WI26,WI310,consumer_discretionary,#e87ba4
WI26,WI320,consumer_discretionary,#e87ba4
WI26,WI330,communication,#4a3aa7
WI26,WI340,consumer_discretionary,#e87ba4
WI26,WI400,defensive,#1baf7a
WI26,WI410,defensive,#1baf7a
WI26,WI500,financials,#008300
WI26,WI510,financials,#008300
WI26,WI520,financials,#008300
WI26,WI600,it,#2a78d6
WI26,WI610,it,#2a78d6
WI26,WI620,it,#2a78d6
WI26,WI630,it,#2a78d6
WI26,WI640,it,#2a78d6
WI26,WI700,communication,#4a3aa7
WI26,WI800,energy_utilities,#e34948
GICS,10,energy_utilities,#e34948
GICS,15,materials,#eda100
GICS,20,industrials,#eb6834
GICS,25,consumer_discretionary,#e87ba4
GICS,30,defensive,#1baf7a
GICS,35,defensive,#1baf7a
GICS,40,financials,#008300
GICS,45,it,#2a78d6
GICS,50,communication,#4a3aa7
GICS,55,energy_utilities,#e34948
GICS,60,financials,#008300
