sector_code,sector_name,sub_sector_code,sub_sector_name
"WI100","에너지","WI10010","에너지"
"WI110","화학","WI11010","화학"
"WI200","비철금속","WI20010","포장재,종이와목재"
"WI200","비철금속","WI20020","비철금속"
"WI210","철강","WI21010","철강"
"WI220","건설","WI22010","건설,건축제품,건축자재"
"WI220","건설","WI22020","가구"
"WI230","기계","WI23010","기계"
"WI230","기계","WI23020","전기장비"
"WI240","조선","WI24010","조선"
"WI250","상사,자본재","WI25010","복합기업"
"WI250","상사,자본재","WI25020","상사"
"WI250","상사,자본재","WI25030","기타자본재"
"WI260","운송","WI26010","운송"
"WI300","자동차","WI30010","자동차"
"WI300","자동차","WI30020","자동차부품"
"WI310","화장품,의류","WI31010","화장품"
"WI310","화장품,의류","WI31020","의류"
"WI310","화장품,의류","WI31030","문구,가정용품"
"WI310","화장품,의류","WI31040","레저용품"
"WI320","호텔,레저","WI32010","호텔,레저"
"WI330","미디어,교육","WI33010","미디어"
"WI330","미디어,교육","WI33020","교육"
"WI340","소매(유통)","WI34010","백화점"
"WI340","소매(유통)","WI34020","기타유통"
"WI400","필수소비재","WI40010","식품,음료"
"WI400","필수소비재","WI40020","담배"
"WI400","필수소비재","WI40030","가정용품"
"WI410","건강관리","WI41010","제약"
"WI410","건강관리","WI41020","생명과학"
"WI410","건강관리","WI41030","건강관리장비,서비스"
"WI500","은행","WI50010","은행"
"WI500","은행","WI50020","기타금융"
"WI510","증권","WI51010","증권"
"WI520","보험","WI52010","보험"
"WI600","소프트웨어","WI60010","소프트웨어"
"WI600","소프트웨어","WI60020","게임소프트웨어"
"WI610","IT하드웨어","WI61010","통신장비"
"WI610","IT하드웨어","WI61020","핸드셋"
"WI610","IT하드웨어","WI61030","컴퓨터"
"WI610","IT하드웨어","WI61040","전자장비,사무용전자제품"
"WI620","반도체","WI62010","반도체"
"WI630","IT가전","WI63010","전자제품"
"WI630","IT가전","WI63020","전기제품"
"WI640","디스플레이","WI64010","디스플레이패널"
"WI640","디스플레이","WI64020","디스플레이장비"
"WI700","통신서비스","WI70010","통신서비스"
"WI800","유틸리티","WI80010","유틸리티"
