base_date,sector_code,sector_name,seq,ticker,company_name,market_cap_mn_krw,weight_pct,cum_weight_pct,cap_factor,applied_shares,wics_sector_code,wics_sector_name,sector_market_cap_mn_krw
"2026-09-11","WI100","에너지",1,"034730","SK",19510477,35.8,35.8,1,33351243,"G10","에너지",54500602
"2026-09-11","WI100","에너지",2,"096770","SK이노베이션",9301961,17.07,52.87,1,64240059,"G10","에너지",54500602
"2026-09-11","WI100","에너지",3,"010950","S-Oil",6248345,11.46,64.33,1,41655633,"G10","에너지",54500602
"2026-09-11","WI100","에너지",4,"078930","GS",5306191,9.74,74.07,1,44589837,"G10","에너지",54500602
"2026-09-11","WI100","에너지",5,"009830","한화솔루션",4222132,7.75,81.81,1,141682297,"G10","에너지",54500602
"2026-09-11","WI100","에너지",6,"336260","두산퓨얼셀",1949617,3.58,85.39,1,39951172,"G10","에너지",54500602
"2026-09-11","WI100","에너지",7,"083650","비에이치아이",1439285,2.64,88.03,1,21042175,"G10","에너지",54500602
"2026-09-11","WI100","에너지",8,"112610","씨에스윈드",1246924,2.29,90.32,1,23615985,"G10","에너지",54500602
"2026-09-11","WI100","에너지",9,"475150","SK이터닉스",990123,1.82,92.14,1,19077522,"G10","에너지",54500602
"2026-09-11","WI100","에너지",10,"322000","HD현대에너지솔루션",674352,1.24,93.37,1,5040000,"G10","에너지",54500602
"2026-09-11","WI100","에너지",11,"100090","SK오션플랜트",483431,0.89,94.26,1,38736439,"G10","에너지",54500602
"2026-09-11","WI100","에너지",12,"006120","SK디스커버리",419811,0.77,95.03,1,7313775,"G10","에너지",54500602
"2026-09-11","WI100","에너지",13,"044490","태웅",362154,0.66,95.7,1,9203395,"G10","에너지",54500602
"2026-09-11","WI100","에너지",14,"005090","SGC에너지",361559,0.66,96.36,1,5907826,"G10","에너지",54500602
"2026-09-11","WI100","에너지",15,"100840","SNT에너지",336145,0.62,96.98,1,8892736,"G10","에너지",54500602
"2026-09-11","WI100","에너지",16,"018000","유니슨",298047,0.55,97.52,1,241333404,"G10","에너지",54500602
"2026-09-11","WI100","에너지",17,"046120","오르비텍",166457,0.31,97.83,1,27422900,"G10","에너지",54500602
"2026-09-11","WI100","에너지",18,"024060","흥구석유",149022,0.27,98.1,1,10200000,"G10","에너지",54500602
"2026-09-11","WI100","에너지",19,"098070","한텍",101692,0.19,98.29,1,4003610,"G10","에너지",54500602
"2026-09-11","WI100","에너지",20,"126720","수산인더스트리",86209,0.16,98.45,1,3857220,"G10","에너지",54500602
"2026-09-11","WI100","에너지",21,"002420","우양피앤엘",83845,0.15,98.6,1,15272263,"G10","에너지",54500602
"2026-09-11","WI100","에너지",22,"128820","대성산업",77443,0.14,98.74,1,18094191,"G10","에너지",54500602
"2026-09-11","WI100","에너지",23,"457550","우진엔텍",76266,0.14,98.88,1,5125426,"G10","에너지",54500602
"2026-09-11","WI100","에너지",24,"0001A0","덕양에너젠",71721,0.13,99.01,1,8150067,"G10","에너지",54500602
"2026-09-11","WI100","에너지",25,"014530","극동유화",69066,0.13,99.14,1,20224263,"G10","에너지",54500602
"2026-09-11","WI100","에너지",26,"389260","대명에너지",57361,0.11,99.25,1,4299918,"G10","에너지",54500602
"2026-09-11","WI100","에너지",27,"270520","앱튼",50394,0.09,99.34,1,15748061,"G10","에너지",54500602
"2026-09-11","WI100","에너지",28,"126880","제이엔케이글로벌",48170,0.09,99.43,1,19229542,"G10","에너지",54500602
"2026-09-11","WI100","에너지",29,"137950","제이씨케미칼",47738,0.09,99.51,1,12024619,"G10","에너지",54500602
"2026-09-11","WI100","에너지",30,"012700","리드코프",43340,0.08,99.59,1,14817065,"G10","에너지",54500602
"2026-09-11","WI100","에너지",31,"100130","동국S&C",36919,0.07,99.66,1,27428640,"G10","에너지",54500602
"2026-09-11","WI100","에너지",32,"282720","금양그린파워",36064,0.07,99.73,1,4726605,"G10","에너지",54500602
