wics_sub_code,wics_sub_name,sector_code,sub_sector_code,sub_sector_name,source
"G101010","에너지장비및서비스","WI100","WI10010","에너지","PDF"
"G101020","석유와가스","WI100","WI10010","에너지","PDF"
"G151010","화학","WI110","WI11010","화학","PDF"
"G151030","포장재","WI200","WI20010","포장재,종이와목재","PDF"
"G151040","비철금속","WI200","WI20020","비철금속","PDF"
"G151050","철강","WI210","WI21010","철강","PDF"
"G151060","종이와목재","WI200","WI20010","포장재,종이와목재","PDF"
"G201010","우주항공과국방","WI250","WI25030","기타자본재","PDF"
"G201020","건축제품","WI220","WI22010","건설,건축제품,건축자재","PDF"
"G201025","건축자재","WI220","WI22010","건설,건축제품,건축자재","PDF"
"G201030","건설","WI220","WI22010","건설,건축제품,건축자재","PDF"
"G201035","가구","WI220","WI22020","가구","PDF"
"G201040","전기장비","WI230","WI23020","전기장비","PDF"
"G201050","복합기업","WI250","WI25010","복합기업","PDF"
"G201060","기계","WI230","WI23010","기계","PDF"
"G201065","조선","WI240","WI24010","조선","PDF"
"G201070","무역회사와판매업체","WI250","WI25020","상사","PDF"
"G202010","상업서비스와공급품","WI250","WI25030","기타자본재","PDF"
"G203010","항공화물운송과물류","WI260","WI26010","운송","PDF"
"G203020","항공사","WI260","WI26010","운송","PDF"
"G203030","해운사","WI260","WI26010","운송","PDF"
"G203040","도로와철도운송","WI260","WI26010","운송","PDF"
"G203050","운송인프라","WI260","WI26010","운송","PDF"
"G251010","자동차부품","WI300","WI30020","자동차부품","PDF"
"G251020","자동차","WI300","WI30010","자동차","PDF"
"G252040","가정용기기와용품","WI310","WI31030","문구,가정용품","PDF"
"G252050","레저용장비와제품","WI310","WI31040","레저용품","PDF"
"G252060","섬유,의류,신발,호화품","WI310","WI31020","의류","PDF"
"G252065","화장품","WI310","WI31010","화장품","PDF"
"G252070","문구류","WI310","WI31030","문구,가정용품","PDF"
"G253010","호텔,레스토랑,레저","WI320","WI32010","호텔,레저","PDF"
"G253020","다각화된소비자서비스","WI320","WI32010","호텔,레저","PDF"
"G254010","광고","WI330","WI33010","미디어","PDF"
"G254020","방송과엔터테인먼트","WI330","WI33010","미디어","PDF"
"G254030","출판","WI330","WI33010","미디어","PDF"
"G255010","판매업체","WI340","WI34020","기타유통","PDF"
"G255020","인터넷과카탈로그소매","WI340","WI34020","기타유통","PDF"
"G255030","백화점과일반상점","WI340","WI34010","백화점","PDF"
"G255040","전문소매","WI340","WI34020","기타유통","PDF"
"G256010","교육서비스","WI330","WI33020","교육","PDF"
"G301010","식품과기본식료품소매","WI400","WI40010","식품,음료","PDF"
"G302010","음료","WI400","WI40010","식품,음료","PDF"
"G302020","식품","WI400","WI40010","식품,음료","PDF"
"G302030","담배","WI400","WI40020","담배","PDF"
"G303010","가정용품","WI400","WI40030","가정용품","PDF"
"G351010","건강관리장비와용품","WI410","WI41030","건강관리장비,서비스","PDF"
"G351020","건강관리업체및서비스","WI410","WI41030","건강관리장비,서비스","PDF"
"G351030","건강관리기술","WI410","WI41030","건강관리장비,서비스","PDF"
"G352010","생물공학","WI410","WI41020","생명과학","PDF"
"G352020","제약","WI410","WI41010","제약","PDF"
"G352030","생명과학도구및서비스","WI410","WI41020","생명과학","PDF"
